DOW30;SP500;BOVESPA67;FTSE100;IBEX35;ATX20;NIKKEI225;SH1476;CH50;TAIWAN896;SET582;KARACHI100;COLCAP25
;0.144394;;;;;0.087517;0.097376;;0.077812;0.072083;;
;0.144369;;;;;0.085054;0.095402;;0.077751;0.069595;;
;0.144349;;;;;0.081975;0.095336;;0.076996;0.069015;;
;0.144117;;;;;0.08108;0.094405;;0.076492;0.067156;;
;0.143932;;;;;0.080456;0.094354;;0.076031;0.066986;;
;0.142625;;;;;0.080062;0.094339;;0.075328;0.066205;;
;0.140507;;;;;0.075612;0.093584;;0.074728;0.065623;;
;0.14046;;;;;0.074709;0.09334;;0.074378;0.065605;;
;0.140131;;;;;0.073823;0.090788;;0.073293;0.065464;;
;0.139019;;;;;0.072673;0.090083;;0.07217;0.064031;;
;0.135247;;;;;0.072082;0.089873;;0.07166;0.061933;;
;0.133512;;;;;0.071261;0.089563;;0.070101;0.061113;;
;0.132962;;;;;0.070802;0.088939;;0.069756;0.060902;;
;0.130646;;;;;0.069948;0.088527;;0.068745;0.06081;;
;0.130368;;;;;0.06957;0.088447;;0.068444;0.060653;;
;0.129947;;;;;0.067813;0.088396;;0.067375;0.060189;;
;0.129464;;;;;0.06535;0.088383;;0.067182;0.059535;;
;0.129181;;;;;0.065104;0.088142;;0.067105;0.059263;;
;0.125876;;;;;0.064496;0.08723;;0.066573;0.058802;;
;0.125102;;;;;0.063462;0.086812;;0.066503;0.056945;;
;0.124948;;;;;0.06338;0.086675;;0.065892;0.05692;;
;0.122248;;;;;0.062969;0.085935;;0.065598;0.056842;;
;0.122116;;;;;0.056155;0.08504;;0.064187;0.056687;;
;0.121107;;;;;0.055334;0.084877;;0.063435;0.055316;;
;0.119646;;;;;0.055252;0.084687;;0.062588;0.055256;;
;0.11888;;;;;0.052214;0.084205;;0.062127;0.055085;;
;0.118598;;;;;0.049998;0.083834;;0.061246;0.051443;;
;0.118488;;;;;0.049538;0.08358;;0.061084;0.049282;;
;0.11729;;;;;0.048569;0.083569;;0.061055;0.049185;;
;0.117174;;;;;0.048307;0.083024;;0.06084;0.048661;;
;0.116678;;;;;0.047256;0.081858;;0.060239;0.048064;;
;0.113497;;;;;0.0465;0.081741;;0.060134;0.047793;;
;0.11245;;;;;0.043578;0.080391;;0.059772;0.047494;;
;0.110795;;;;;0.041887;0.080035;;0.059411;0.047318;;
;0.110439;;;;;0.038094;0.07998;;0.059278;0.047249;;
;0.110382;;;;;0.038077;0.079892;;0.059039;0.046838;;
;0.110234;;;;;0.037798;0.079007;;0.058993;0.046165;;
;0.109268;;;;;0.035409;0.078992;;0.058455;0.04605;;
;0.108647;;;;;0.03522;0.078851;;0.058369;0.045981;;
;0.108439;;;;;0.032544;0.078788;;0.058231;0.045319;;
;0.10809;;;;;0.032347;0.07861;;0.058129;0.044801;;
;0.107839;;;;;0.032347;0.078603;;0.057723;0.044734;;
;0.107653;;;;;0.031345;0.078424;;0.057379;0.044722;;
;0.106432;;;;;0.029572;0.077866;;0.056323;0.044152;;
;0.106411;;;;;0.0277;0.077819;;0.056298;0.044073;;
;0.105797;;;;;0.02747;0.077618;;0.055676;0.044;;
;0.105539;;;;;0.027051;0.077354;;0.055653;0.042855;;
;0.103594;;;;;0.026994;0.076835;;0.055466;0.042337;;
;0.103423;;;;;0.026583;0.075995;;0.055278;0.042317;;
;0.103372;;;;;0.025032;0.075513;;0.054911;0.041569;;
;0.103338;;;;;0.02307;0.075498;;0.054872;0.041197;;
;0.102602;;;;;0.021838;0.07542;;0.054689;0.041164;;
;0.1017;;;;;0.019424;0.075163;;0.054336;0.039892;;
;0.101636;;;;;0.016617;0.074661;;0.053668;0.039574;;
;0.101628;;;;;0.0166;0.074463;;0.052352;0.039496;;
;0.1016;;;;;0.013891;0.074337;;0.0513;0.039434;;
;0.1013;;;;;0.011494;0.074067;;0.050991;0.038202;;
;0.100105;;;;;0.010131;0.073907;;0.050948;0.038168;;
;0.100098;;;;;0.008801;0.073767;;0.050928;0.038076;;
;0.100081;;;;;0.008637;0.073569;;0.05084;0.037868;;
;0.099476;;;;;0.006535;0.073275;;0.05072;0.037834;;
;0.097472;;;;;;0.073119;;0.050666;0.037797;;
;0.097275;;;;;;0.072872;;0.050666;0.037743;;
;0.095186;;;;;;0.072846;;0.050396;0.037615;;
;0.094075;;;;;;0.072836;;0.050378;0.037611;;
;0.094071;;;;;;0.072158;;0.04983;0.037412;;
;0.09388;;;;;;0.071708;;0.04883;0.036878;;
;0.093616;;;;;;0.070895;;0.048827;0.036383;;
;0.093425;;;;;;0.070667;;0.048504;0.035996;;
;0.092337;;;;;;0.070526;;0.048335;0.035827;;
;0.091544;;;;;;0.070519;;0.047953;0.035776;;
;0.091367;;;;;;0.070136;;0.04795;0.035575;;
;0.09123;;;;;;0.06988;;0.047389;0.035424;;
;0.091017;;;;;;0.06936;;0.047232;0.035347;;
;0.090925;;;;;;0.069296;;0.046868;0.035056;;
;0.090894;;;;;;0.069256;;0.04669;0.034677;;
;0.090707;;;;;;0.0692;;0.046432;0.034378;;
;0.090384;;;;;;0.068398;;0.046197;0.032989;;
;0.089004;;;;;;0.068372;;0.046017;0.032742;;
;0.088227;;;;;;0.068242;;0.045979;0.032671;;
;0.0881;;;;;;0.067531;;0.045667;0.032465;;
;0.087902;;;;;;0.067098;;0.045627;0.032089;;
;0.087872;;;;;;0.066584;;0.045268;0.032058;;
;0.087275;;;;;;0.066512;;0.045251;0.031979;;
;0.086408;;;;;;0.066396;;0.044859;0.031681;;
;0.086284;;;;;;0.066226;;0.044785;0.031461;;
;0.086079;;;;;;0.065882;;0.044573;0.03127;;
;0.085181;;;;;;0.065768;;0.044015;0.030001;;
;0.085043;;;;;;0.0657;;0.043874;0.029911;;
;0.085004;;;;;;0.065519;;0.043278;0.02987;;
;0.083565;;;;;;0.065454;;0.042978;0.029752;;
;0.083509;;;;;;0.064995;;0.042937;0.029732;;
;0.083406;;;;;;0.064506;;0.042864;0.029556;;
;0.083345;;;;;;0.064173;;0.042473;0.029234;;
;0.083289;;;;;;0.06387;;0.042295;0.029051;;
;0.082964;;;;;;0.0633;;0.041801;0.029049;;
;0.08242;;;;;;0.063112;;0.041759;0.028416;;
;0.081958;;;;;;0.063089;;0.040839;0.028294;;
;0.081715;;;;;;0.063056;;0.040707;0.028228;;
;0.081685;;;;;;0.062772;;0.040684;0.027727;;
;0.081323;;;;;;0.06241;;0.040025;0.027437;;
;0.081306;;;;;;0.061868;;0.03997;0.027201;;
;0.08107;;;;;;0.061833;;0.039854;0.026966;;
;0.080648;;;;;;0.061652;;0.039819;0.026833;;
;0.080566;;;;;;0.061374;;0.039784;0.026739;;
;0.080546;;;;;;0.061219;;0.039759;0.026459;;
;0.080329;;;;;;0.061201;;0.039619;0.026426;;
;0.080004;;;;;;0.061065;;0.039486;0.026264;;
;0.079918;;;;;;0.060761;;0.039028;0.026145;;
;0.079703;;;;;;0.060676;;0.038913;0.026141;;
;0.078667;;;;;;0.060148;;0.03888;0.026137;;
;0.077508;;;;;;0.060113;;0.038858;0.026114;;
;0.077198;;;;;;0.060111;;0.038773;0.025863;;
;0.076923;;;;;;0.059912;;0.038659;0.025774;;
;0.076824;;;;;;0.059857;;0.038334;0.025681;;
;0.076041;;;;;;0.059705;;0.038292;0.025665;;
;0.076013;;;;;;0.059664;;0.038017;0.025629;;
;0.075455;;;;;;0.059142;;0.037993;0.025493;;
;0.074877;;;;;;0.058721;;0.037859;0.024643;;
;0.074723;;;;;;0.058702;;0.037296;0.024397;;
;0.074657;;;;;;0.058343;;0.037033;0.024375;;
;0.074652;;;;;;0.057869;;0.037029;0.024373;;
;0.074373;;;;;;0.057868;;0.036999;0.024201;;
;0.073527;;;;;;0.057839;;0.036835;0.024085;;
;0.073365;;;;;;0.057829;;0.036722;0.024085;;
;0.073304;;;;;;0.057612;;0.036369;0.023959;;
;0.073066;;;;;;0.057576;;0.036151;0.023624;;
;0.072188;;;;;;0.056794;;0.036028;0.023624;;
;0.072007;;;;;;0.056373;;0.035894;0.023611;;
;0.07125;;;;;;0.056238;;0.035588;0.022999;;
;0.070779;;;;;;0.056224;;0.03547;0.022921;;
;0.070364;;;;;;0.056117;;0.035453;0.022742;;
;0.070006;;;;;;0.056042;;0.035326;0.022738;;
;0.069771;;;;;;0.055831;;0.035133;0.022645;;
;0.069491;;;;;;0.055765;;0.034724;0.022407;;
;0.068892;;;;;;0.055185;;0.034649;0.022311;;
;0.068355;;;;;;0.054802;;0.034632;0.022302;;
;0.06831;;;;;;0.054673;;0.034294;0.022013;;
;0.068307;;;;;;0.053789;;0.034285;0.021967;;
;0.067255;;;;;;0.053732;;0.034108;0.021918;;
;0.067192;;;;;;0.053561;;0.034098;0.021859;;
;0.066911;;;;;;0.053531;;0.034021;0.021677;;
;0.066902;;;;;;0.053341;;0.033981;0.021598;;
;0.066088;;;;;;0.053214;;0.033829;0.021581;;
;0.065329;;;;;;0.053095;;0.033424;0.021383;;
;0.065247;;;;;;0.053059;;0.033355;0.020725;;
;0.064936;;;;;;0.053024;;0.033272;0.020614;;
;0.064861;;;;;;0.052969;;0.033197;0.020571;;
;0.064735;;;;;;0.052844;;0.032713;0.020536;;
;0.063861;;;;;;0.052706;;0.032583;0.020454;;
;0.063815;;;;;;0.052514;;0.032572;0.020413;;
;0.063781;;;;;;0.052482;;0.032422;0.020184;;
;0.063775;;;;;;0.052306;;0.032251;0.020167;;
;0.063762;;;;;;0.052273;;0.032224;0.019884;;
;0.063605;;;;;;0.052157;;0.031733;0.019793;;
;0.063565;;;;;;0.052116;;0.031274;0.01979;;
;0.063212;;;;;;0.052101;;0.031186;0.019775;;
;0.062724;;;;;;0.052013;;0.031083;0.019706;;
;0.062714;;;;;;0.051921;;0.031023;0.019678;;
;0.06265;;;;;;0.051781;;0.030873;0.019461;;
;0.06222;;;;;;0.051721;;0.030764;0.019362;;
;0.061633;;;;;;0.051666;;0.030742;0.019259;;
;0.061279;;;;;;0.051111;;0.029976;0.019245;;
;0.061193;;;;;;0.050789;;0.029447;0.019176;;
;0.061121;;;;;;0.050725;;0.029271;0.019015;;
;0.060956;;;;;;0.050488;;0.02924;0.018603;;
;0.060818;;;;;;0.050349;;0.029186;0.018475;;
;0.060814;;;;;;0.050312;;0.029171;0.018365;;
;0.060547;;;;;;0.050169;;0.029155;0.018323;;
;0.060386;;;;;;0.050103;;0.028953;0.017959;;
;0.060319;;;;;;0.050032;;0.028818;0.017849;;
;0.060241;;;;;;0.050021;;0.028427;0.017805;;
;0.0602;;;;;;0.049874;;0.028295;0.01779;;
;0.060171;;;;;;0.049649;;0.028276;0.01738;;
;0.060039;;;;;;0.049214;;0.0282;0.017276;;
;0.059893;;;;;;0.04859;;0.028184;0.017086;;
;0.059871;;;;;;0.048213;;0.02804;0.017056;;
;0.059777;;;;;;0.048072;;0.027968;0.016915;;
;0.059751;;;;;;0.048026;;0.027841;0.016842;;
;0.05913;;;;;;0.047779;;0.027807;0.016792;;
;0.059119;;;;;;0.047741;;0.027773;0.01665;;
;0.059049;;;;;;0.047721;;0.027723;0.016595;;
;0.058836;;;;;;0.047668;;0.027676;0.01646;;
;0.057678;;;;;;0.047104;;0.027613;0.016455;;
;0.05767;;;;;;0.04686;;0.02738;0.01618;;
;0.057155;;;;;;0.046119;;0.027346;0.016163;;
;0.056977;;;;;;0.045745;;0.027316;0.016096;;
;0.056495;;;;;;0.045654;;0.027287;0.016002;;
;0.056476;;;;;;0.045644;;0.026908;0.01582;;
;0.056208;;;;;;0.045571;;0.026778;0.015797;;
;0.056152;;;;;;0.045217;;0.026774;0.015782;;
;0.056148;;;;;;0.044699;;0.026243;0.015758;;
;0.056037;;;;;;0.044666;;0.026225;0.01573;;
;0.055917;;;;;;0.044365;;0.02613;0.015625;;
;0.055669;;;;;;0.043862;;0.026103;0.01535;;
;0.055546;;;;;;0.043838;;0.02609;0.01535;;
;0.05459;;;;;;0.043759;;0.026055;0.015008;;
;0.054543;;;;;;0.043733;;0.02604;0.014984;;
;0.054429;;;;;;0.043662;;0.026008;0.014953;;
;0.054407;;;;;;0.043549;;0.025736;0.014895;;
;0.053772;;;;;;0.04337;;0.025658;0.014748;;
;0.053757;;;;;;0.043366;;0.025612;0.014633;;
;0.053743;;;;;;0.043327;;0.025608;0.014529;;
;0.053707;;;;;;0.043219;;0.025589;0.01452;;
;0.053022;;;;;;0.043142;;0.02546;0.014359;;
;0.052932;;;;;;0.043114;;0.025315;0.01435;;
;0.052702;;;;;;0.043022;;0.025292;0.014075;;
;0.052468;;;;;;0.042707;;0.025254;0.014036;;
;0.052409;;;;;;0.042601;;0.025199;0.014002;;
;0.052375;;;;;;0.042451;;0.025153;0.013829;;
;0.052176;;;;;;0.042378;;0.025146;0.013829;;
;0.052009;;;;;;0.042357;;0.025002;0.013649;;
